member_name,member_start_date,member_end_date,political_party,administrative_region
τογιας ιωαννη βασιλειος,2012-02-12,2012-04-11,ανεξαρτητοι (εκτος κομματος),βοιωτιας
τογιας ιωαννη βασιλειος,2009-10-04,2012-02-11,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας
τολκας χαραλαμπου αγγελος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ημαθιας
τολκας χαραλαμπου αγγελος,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,ημαθιας
τολκας χαραλαμπου αγγελος,2021-07-01,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,ημαθιας
τολκας χαραλαμπου αγγελος,2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,ημαθιας
τοσκας στεφανου νικολαος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,επικρατειας
τοσκας στεφανου νικολαος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
τραγακης παναγιωτη ιωαννης,1989-06-18,1989-10-12,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,1989-11-05,1990-03-12,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,1990-04-08,1993-09-11,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2004-03-07,2007-08-18,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2007-09-16,2009-09-07,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2009-10-04,2012-04-11,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2012-05-06,2012-05-19,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2012-06-17,2014-12-31,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2015-01-25,2015-08-28,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2015-09-20,2019-06-11,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2019-07-07,2023-04-22,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2023-06-25,2023-11-13,νεα δημοκρατια,β' πειραιως
τριανταφυλλιδης γεωργιου αλεξανδρος (αλεκος),2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,α' θεσσαλονικης
τριανταφυλλιδης γεωργιου αλεξανδρος (αλεκος),2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,α' θεσσαλονικης
τριανταφυλλιδης γεωργιου αλεξανδρος (αλεκος),2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,α' θεσσαλονικης
τριανταφυλλοπουλος θεοδωρου ανδρεας,2012-02-12,2012-04-11,ανεξαρτητοι (εκτος κομματος),αχαιας
τριανταφυλλοπουλος θεοδωρου ανδρεας,2009-10-04,2012-02-11,πανελληνιο σοσιαλιστικο κινημα,αχαιας
τριανταφυλλος δημοσθενη κωνσταντινος,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,χιου
τριανταφυλλος δημοσθενη κωνσταντινος,2012-06-17,2014-12-31,πανελληνιο σοσιαλιστικο κινημα,χιου
αγγελουσης αθανασιου ευσταθιος,2003-01-28,2004-02-11,νεα δημοκρατια,φθιωτιδας
βαθειας κωνσταντινου ιωαννης,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας
τριανταφυλλου κωνσταντινου μαρια,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,αιτωλοακαρνανιας
τριανταφυλλου κωνσταντινου μαρια,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,αιτωλοακαρνανιας
τριανταφυλλου κωνσταντινου μαρια,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,αιτωλοακαρνανιας
τριαντοπουλος γεωργιου χρηστος,2023-05-21,2023-05-29,νεα δημοκρατια,μαγνησιας
τριαντοπουλος γεωργιου χρηστος,2023-06-25,2023-11-13,νεα δημοκρατια,μαγνησιας
τρυφωνιδης παναγιωτη γεωργιος,1993-10-10,1996-08-24,νεα δημοκρατια,πρεβεζας
τρυφωνιδης παναγιωτη γεωργιος,1996-09-22,2000-03-14,νεα δημοκρατια,πρεβεζας
τρυφωνιδης παναγιωτη γεωργιος,2000-04-09,2004-02-11,νεα δημοκρατια,πρεβεζας
τρυφωνιδης παναγιωτη γεωργιος,2007-09-16,2009-09-07,νεα δημοκρατια,πρεβεζας
τσαβδαριδης γεωργιου λαζαρος,2007-09-16,2009-09-07,νεα δημοκρατια,ημαθιας
τσαβδαριδης γεωργιου λαζαρος,2012-06-17,2014-12-31,νεα δημοκρατια,ημαθιας
τσαβδαριδης γεωργιου λαζαρος,2019-07-07,2023-04-22,νεα δημοκρατια,ημαθιας
τσαβδαριδης γεωργιου λαζαρος,2023-06-25,2023-11-13,νεα δημοκρατια,ημαθιας
τσακαλωτος στεφανου ευκλειδης,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
τσακαλωτος στεφανου ευκλειδης,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
τσακαλωτος στεφανου ευκλειδης,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
τσακαλωτος στεφανου ευκλειδης,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
τσακαλωτος στεφανου ευκλειδης,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,β1' βορειου τομεα αθηνων
τσακαλωτος στεφανου ευκλειδης,2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,β1' βορειου τομεα αθηνων
τσακαλωτος στεφανου ευκλειδης,2023-06-25,2023-11-13,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,β1' βορειου τομεα αθηνων
τσακλιδης κωνσταντινου ιωαννης,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,καβαλας
τσακλιδης κωνσταντινου ιωαννης,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,καβαλας
τσακλιδης κωνσταντινου ιωαννης,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,καβαλας
τσακλιδης κωνσταντινου ιωαννης,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,καβαλας
τσακλιδης κωνσταντινου ιωαννης,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,καβαλας
τσακλιδης κωνσταντινου ιωαννης,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,καβαλας
τσακλιδης κωνσταντινου ιωαννης,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,καβαλας
τσακλιδης κωνσταντινου ιωαννης,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,καβαλας
βαινας βασιλειου ιωαννης,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,αιτωλοακαρνανιας
τσαλδαρης κωνσταντινου αθανασιος,1989-01-01,1989-06-02,νεα δημοκρατια,β' αθηνων
τσαλδαρης κωνσταντινου αθανασιος,1989-06-18,1989-10-12,νεα δημοκρατια,επικρατειας
τσαλδαρης κωνσταντινου αθανασιος,1989-11-05,1990-03-12,νεα δημοκρατια,επικρατειας
τσαλδαρης κωνσταντινου αθανασιος,1990-04-08,1993-09-11,νεα δημοκρατια,επικρατειας
τσαλδαρης κωνσταντινου αθανασιος,1993-10-10,1996-08-24,νεα δημοκρατια,επικρατειας
τσαλδαρης κωνσταντινου αθανασιος,1996-09-22,1997-10-04,νεα δημοκρατια,επικρατειας
τσαλιδης γεωργιου φιλιππος,2004-03-07,2007-08-18,νεα δημοκρατια,ξανθης
τσανακα δημητριου αλεξανδρα,2015-08-21,2015-08-28,λαικη ενοτητα,καβαλας
τσανακα δημητριου αλεξανδρα,2015-01-25,2015-08-20,συνασπισμος ριζοσπαστικης αριστερας,καβαλας
τσαντουλας χριστοφορου δημητριος,2004-03-07,2007-08-18,νεα δημοκρατια,πρεβεζας
τσαπανιδου γεωργιου παρθενα (ποπη),2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,επικρατειας
τσεκουρας γρηγοριου ιωαννης,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,πρεβεζας
τσερτικιδης αναστασιου παντελης,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,πιεριας
τσερτικιδης αναστασιου παντελης,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,πιεριας
τσερτικιδης αναστασιου παντελης,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,πιεριας
βακη γεωργιου φωτεινη,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,κερκυρας
βακη γεωργιου φωτεινη,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,κερκυρας
τσιαμακης κωνσταντινου δημοσθενης,2000-04-09,2000-09-20,νεα δημοκρατια,ευρυτανιας
τσιαμακης κωνσταντινου δημοσθενης,2004-03-07,2007-08-18,νεα δημοκρατια,ευρυτανιας
τσιαουση παναγιωτη ελενη,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,εβρου
τσιαρας αλεξανδρου κωνσταντινος,2004-03-07,2007-08-18,νεα δημοκρατια,καρδιτσας
τσιαρας αλεξανδρου κωνσταντινος,2007-09-16,2009-09-07,νεα δημοκρατια,καρδιτσας
τσιαρας αλεξανδρου κωνσταντινος,2009-10-04,2012-04-11,νεα δημοκρατια,καρδιτσας
τσιαρας αλεξανδρου κωνσταντινος,2012-05-06,2012-05-19,νεα δημοκρατια,καρδιτσας
τσιαρας αλεξανδρου κωνσταντινος,2012-06-17,2014-12-31,νεα δημοκρατια,καρδιτσας
τσιαρας αλεξανδρου κωνσταντινος,2015-01-25,2015-08-28,νεα δημοκρατια,καρδιτσας
τσιαρας αλεξανδρου κωνσταντινος,2015-09-20,2019-06-11,νεα δημοκρατια,καρδιτσας
τσιαρας αλεξανδρου κωνσταντινος,2019-07-07,2023-04-22,νεα δημοκρατια,καρδιτσας
τσιαρας αλεξανδρου κωνσταντινος,2023-05-21,2023-05-29,νεα δημοκρατια,καρδιτσας
τσιαρας αλεξανδρου κωνσταντινος,2023-06-25,2023-11-13,νεα δημοκρατια,καρδιτσας
τσιαρτσιωνης γεωργιου νικολαος,1996-09-22,2000-03-14,νεα δημοκρατια,κοζανης
τσιαρτσιωνης γεωργιου νικολαος,2000-04-09,2004-02-11,νεα δημοκρατια,κοζανης
τσιαρτσιωνης γεωργιου νικολαος,2004-03-07,2007-08-18,νεα δημοκρατια,κοζανης
τσιαρτσιωνης γεωργιου νικολαος,2007-09-16,2009-09-07,νεα δημοκρατια,κοζανης
τσιγκρης αντωνιου αγγελος,2019-07-07,2023-04-22,νεα δημοκρατια,αχαιας
τσικαρδανη αλεξανδρου θεοδωρα,2012-05-06,2012-05-19,δημοκρατικη αριστερα,κοζανης
τσιλιγγιρης γεωργιου σπυριδων (σπυρος),2019-07-07,2023-04-22,νεα δημοκρατια,ξανθης
τσιλιγγιρης γεωργιου σπυριδων (σπυρος),2023-05-21,2023-05-29,νεα δημοκρατια,ξανθης
τσιλιγγιρης γεωργιου σπυριδων (σπυρος),2023-06-25,2023-11-13,νεα δημοκρατια,ξανθης
τσιλικας χαραλαμπους βασιλειος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,καρδιτσας
τσιλικας χαραλαμπους βασιλειος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,καρδιτσας
τσιμαρης παναγιωτη ιωαννης,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,ιωαννινων
τσιμαρης παναγιωτη ιωαννης,2023-06-25,2023-11-13,πασοκ - κινημα αλλαγης,ιωαννινων
τσιμας δημητριου κωνσταντινος,2000-04-09,2001-07-12,πανελληνιο σοσιαλιστικο κινημα,καβαλας
τσιμας δημητριου κωνσταντινος,2004-03-07,2005-11-29,πανελληνιο σοσιαλιστικο κινημα,καβαλας
βαλαβανη γεωργιου ολγα-ναντια,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
βαλαβανη γεωργιου ολγα-ναντια,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
βαλαβανη γεωργιου ολγα-ναντια,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
τσιογκας βασιλειου δημητριος,2001-02-01,2004-02-11,κομμουνιστικο κομμα ελλαδας,λαρισας
τσιογκας βασιλειου δημητριος,2004-03-07,2007-08-18,κομμουνιστικο κομμα ελλαδας,λαρισας
τσιογκας βασιλειου δημητριος,2007-09-16,2008-05-23,κομμουνιστικο κομμα ελλαδας,λαρισας
τσιοκας δημητριου θεοχαρης (χαρης),1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,β' θεσσαλονικης
τσιοκας δημητριου θεοχαρης (χαρης),2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,β' θεσσαλονικης
τσιοκας δημητριου θεοχαρης (χαρης),2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,β' θεσσαλονικης
τσιοκας δημητριου θεοχαρης (χαρης),2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,β' θεσσαλονικης
τσιοκας δημητριου θεοχαρης (χαρης),2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,β' θεσσαλονικης
τσιουπλακης ελευθεριου κωνσταντινος,1989-01-01,1989-06-02,νεα δημοκρατια,χαλκιδικης
τσιπλακης αθανασιου κωνσταντινος,2000-04-09,2004-02-11,νεα δημοκρατια,σερρων
τσιπλακης αθανασιου κωνσταντινος,2004-03-07,2007-08-18,νεα δημοκρατια,σερρων
τσιπλακος ιωαννη αριστειδης,1989-01-01,1989-06-02,νεα δημοκρατια,βοιωτιας
τσιπλακος ιωαννη αριστειδης,1989-06-18,1989-10-12,νεα δημοκρατια,βοιωτιας
τσιπλακος ιωαννη αριστειδης,1989-11-05,1990-03-12,νεα δημοκρατια,βοιωτιας
τσιπλακος ιωαννη αριστειδης,1990-04-08,1993-09-11,νεα δημοκρατια,βοιωτιας
τσιπλακος ιωαννη αριστειδης,1993-10-10,1996-08-24,νεα δημοκρατια,βοιωτιας
τσιπλακος ιωαννη αριστειδης,2000-04-09,2004-02-11,νεα δημοκρατια,βοιωτιας
τσιπρας ηρακλη γεωργιος,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,β' δυτικης αττικης
τσιπρας ηρακλη γεωργιος,2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,β' δυτικης αττικης
τσιπρας παυλου αλεξιος,2009-10-04,2012-04-11,συνασπισμος ριζοσπαστικης αριστερας,α' αθηνων
τσιπρας παυλου αλεξιος,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,α' αθηνων
τσιπρας παυλου αλεξιος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,α' αθηνων
τσιπρας παυλου αλεξιος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,α' αθηνων
τσιπρας παυλου αλεξιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ηρακλειου
τσιπρας παυλου αλεξιος,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,αχαιας
τσιπρας παυλου αλεξιος,2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,α' πειραιως
τσιπρας παυλου αλεξιος,2023-06-25,2023-11-13,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,α' πειραιως
τσιπρας σταυρου βασιλης,2000-04-09,2004-02-11,νεα δημοκρατια,ευρυτανιας
τσιρκας δημητριου βασιλειος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,αρτας
τσιρκας δημητριου βασιλειος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,αρτας
τσιρωνης γεωργιου ιωαννης,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
βαληνακης γεωργιου ιωαννης,2004-03-07,2007-08-18,νεα δημοκρατια,επικρατειας
βαληνακης γεωργιου ιωαννης,2007-09-16,2009-09-07,νεα δημοκρατια,δωδεκανησου
τσιρωνης μιχαηλ δημητριος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,αρτας
τσιρωνης μιχαηλ δημητριος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,αρτας
τσιρωνης μιχαηλ σπυριδων,2023-06-25,2023-11-13,δημοκρατικο πατριωτικο κινημα νικη,αχαιας
τσιτουριδης κυριακου σαββας,1996-09-22,2000-03-14,νεα δημοκρατια,κιλκις
τσιτουριδης κυριακου σαββας,2000-04-09,2004-02-11,νεα δημοκρατια,κιλκις
τσιτουριδης κυριακου σαββας,2004-03-07,2007-08-18,νεα δημοκρατια,κιλκις
τσιτουριδης κυριακου σαββας,2007-09-16,2009-09-07,νεα δημοκρατια,κιλκις
τσογκας παυλου γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,κορινθιας
τσοκανης νικολαου χρηστος,2023-05-21,2023-05-29,κομμουνιστικο κομμα ελλαδας,β' δυτικης αττικης
τσοκανης νικολαου χρηστος,2023-06-25,2023-11-13,κομμουνιστικο κομμα ελλαδας,β' δυτικης αττικης
τσοκλη κωνσταντινου μαρια-γλυκερια (μαγια),2009-10-04,2012-02-13,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
τσονογλου-βυλλιωτη παρασχου βασιλικη,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας
τσουδερου εμμανουηλ βιργινια,1989-01-01,1989-06-02,νεα δημοκρατια,επικρατειας
τσουδερου εμμανουηλ βιργινια,1989-06-18,1989-10-12,νεα δημοκρατια,α' αθηνων
τσουδερου εμμανουηλ βιργινια,1989-11-05,1990-03-12,νεα δημοκρατια,επικρατειας
τσουδερου εμμανουηλ βιργινια,1990-04-08,1993-09-11,νεα δημοκρατια,επικρατειας
τσουκαλας αγγελου κωνσταντινος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,επικρατειας
τσουκαλας βασιλειου δημητριος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,επικρατειας
τσουκαλης σπυριδωνος νικολαος,2007-09-16,2009-09-07,συνασπισμος ριζοσπαστικης αριστερας,αχαιας
τσουκαλης σπυριδωνος νικολαος,2012-03-26,2012-04-11,δημοκρατικη αριστερα,αχαιας
τσουκαλης σπυριδωνος νικολαος,2010-06-09,2012-03-25,ανεξαρτητοι (εκτος κομματος),αχαιας
τσουκαλης σπυριδωνος νικολαος,2009-10-04,2010-06-08,συνασπισμος ριζοσπαστικης αριστερας,αχαιας
τσουκαλης σπυριδωνος νικολαος,2012-05-06,2012-05-19,δημοκρατικη αριστερα,αχαιας
τσουκαλης σπυριδωνος νικολαος,2012-06-17,2014-12-31,δημοκρατικη αριστερα,αχαιας
τσουκατος εμμανουηλ θεοδωρος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
τσουμανη-σπεντζα λαμπρου ευγενια,2009-10-04,2012-04-11,νεα δημοκρατια,επικρατειας
τσουμανης αχιλλεα δημητριος,2009-10-04,2012-04-11,νεα δημοκρατια,πρεβεζας
τσουμανης αχιλλεα δημητριος,2012-05-06,2012-05-19,νεα δημοκρατια,πρεβεζας
τσουμανης αχιλλεα δημητριος,2012-06-17,2014-12-31,νεα δημοκρατια,πρεβεζας
τσουρας αγγελου αθανασιος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρας αγγελου αθανασιος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρας αγγελου αθανασιος,1990-04-08,1991-01-16,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρας αγγελου αθανασιος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρας αγγελου αθανασιος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρας αγγελου αθανασιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρας αγγελου αθανασιος,2009-05-22,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρας αγγελου αθανασιος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρη στεφανου ελπιδα,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,χιου
τσουρη στεφανου ελπιδα,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,χιου
τσουρη στεφανου ελπιδα,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,χιου
τσουρη στεφανου ελπιδα,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,χιου
τσουρνος ηλια γεωργιος,2000-04-09,2004-02-11,νεα δημοκρατια,αργολιδος
βαλτογιαννης σωτηριου διονυσιος,2023-06-25,2023-11-13,σπαρτιατες,αιτωλοακαρνανιας
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσωνης αθανασιου νικολαος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας
τσωνης αθανασιου νικολαος,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας
τσωνης αθανασιου νικολαος,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,φθιωτιδας
υψηλαντης αναστασιου βασιλειος-νικολαος,2012-05-06,2012-05-19,νεα δημοκρατια,δωδεκανησου
υψηλαντης αναστασιου βασιλειος-νικολαος,2012-06-17,2014-12-31,νεα δημοκρατια,δωδεκανησου
υψηλαντης αναστασιου βασιλειος-νικολαος,2019-07-07,2023-04-22,νεα δημοκρατια,δωδεκανησου
υψηλαντης αναστασιου βασιλειος-νικολαος,2023-06-25,2023-11-13,νεα δημοκρατια,δωδεκανησου
φαμελλος πετρου σωκρατης,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,β' θεσσαλονικης
φαμελλος πετρου σωκρατης,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,β' θεσσαλονικης
φαμελλος πετρου σωκρατης,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,β' θεσσαλονικης
φαμελλος πετρου σωκρατης,2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,β' θεσσαλονικης
φαμελλος πετρου σωκρατης,2023-06-25,2023-11-13,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,β' θεσσαλονικης
φαρακος κωνσταντινου γρηγοριος,1989-01-01,1989-06-02,κομμουνιστικο κομμα ελλαδας,α' αθηνων
φαρακος κωνσταντινου γρηγοριος,1989-06-18,1989-10-12,συνασπισμος της αριστερας των κινηματων και της οικολογιας,α' αθηνων
φαρακος κωνσταντινου γρηγοριος,1989-11-05,1990-03-12,συνασπισμος της αριστερας των κινηματων και της οικολογιας,α' αθηνων
φαρακος κωνσταντινου γρηγοριος,1990-04-08,1993-09-11,συνασπισμος της αριστερας των κινηματων και της οικολογιας,α' αθηνων
φαρμακη-γκεκη γεωργιου αικατερινη,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,κορινθιας
φαρμακης ιωαννη νικολαος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φαρμακης ιωαννη νικολαος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φαρμακης ιωαννη νικολαος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φαρμακης ιωαννη νικολαος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φαρμακης ιωαννη νικολαος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φασουλας ιωαννη παναγιωτης,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,α' πειραιως
φερχατ ναζηφ οζγκιουρ,2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,ροδοπης
φερχατ ναζηφ οζγκιουρ,2023-06-25,2023-11-13,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,ροδοπης
βαλυρακης ιωαν. ιωσηφ,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,χανιων
βαλυρακης ιωαν. ιωσηφ,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,χανιων
βαλυρακης ιωαν. ιωσηφ,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,χανιων
βαλυρακης ιωαν. ιωσηφ,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,χανιων
βαλυρακης ιωαν. ιωσηφ,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,χανιων
βαλυρακης ιωαν. ιωσηφ,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,χανιων
βαλυρακης ιωαν. ιωσηφ,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,χανιων
βαλυρακης ιωαν. ιωσηφ,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,χανιων
φιλης αριστοτελη νικολαος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,α' αθηνων
φιλης αριστοτελη νικολαος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,α' αθηνων
φιλης αριστοτελη νικολαος,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,α' αθηνων
